Unnamed: 0,Equipo,País,Continente,IG,Twitter,Diferencia IG/T
0,Kru eSports,Argentina,Sudamérica,516000,263000,253000
1,WAP,Argentina,Sudamérica,11400,4064,7336
2,Isurus Gaming,Argentina,Sudamérica,99800,103500,-3700
3,Furious Gaming,Argentina,Sudamérica,94400,53900,40500
4,Nocturns Gaming,Argentina,Sudamérica,11200,7686,3514
5,Malvinas Gaming,Argentina,Sudamérica,57300,16300,41000
6,Zeta Strike,Argentina,Sudamérica,736,593,143
7,Quad Gaming,Argentina,Sudamérica,1066,1674,-608
8,9z Team,Argentina,Sudamérica,408000,306400,101600
9,Pampas,Argentina,Sudamérica,13200,6937,6263
10,Stone eSports,Argentina,Sudamérica,11500,4942,6558
11,Feint Gaming,Argentina,Sudamérica,4259,827,3432
12,Leviatán,Argentina,Sudamérica,85000,96000,-11000
13,Loud,Brasil,Sudamérica,11500000,1600000,9900000
14,Furia,Brasil,Sudamérica,580000,533700,46300
15,MIBR,Brasil,Sudamérica,460000,404000,56000
16,MGCF,Brasil,Sudamérica,5320,1712,3608
17,R10,Brasil,Sudamérica,14500,4021,10479
18,SPQR,Brasil,Sudamérica,12200,7464,4736
19,Red Canids,Brasil,Sudamérica,342000,196000,146000
20,Miners.gg,Brasil,Sudamérica,44900,11400,33500
21,Flamengo eSports,Brasil,Sudamérica,685000,322100,362900
22,Keyd Stars,Brasil,Sudamérica,1400000,214900,1185100
23,TBK eSports,Brasil,Sudamérica,2600,7500,-4900
24,Gamelanders,Brasil,Sudamérica,28800,40000,-11200
25,Black Dragons,Brasil,Sudamérica,251000,74900,176100
26,Team Vikings,Brasil,Sudamérica,60800,50100,10700
27,Havan Liberty,Brasil,Sudamérica,98500,66800,31700
28,B4 eSports,Brasil,Sudamérica,2200000,74500,2125500
29,Maycam Evolve,Brasil,Sudamérica,68100,7706,60394
30,CM E-Sports,Brasil,Sudamérica,28300,9200,19100
31,Tuzzy E-Sports,Brasil,Sudamérica,36000,3258,32742
32,00Nation Brasil (F),Brasil,Sudamérica,58300,61000,-2700
33,Cruzados eSports,Chile,Sudamérica,11400,5957,5443
34,Optix,Chile,Sudamérica,6758,3621,3137
35,Australs,Chile,Sudamérica,8300,10900,-2600
36,Rebirth eSports,Chile,Sudamérica,40200,13400,26800
37,Dark Horse,Chile,Sudamérica,1938,2526,-588
38,Maze Gaming,Chile,Sudamérica,631,1193,-562
39,Loto,Colombia,Sudamérica,12500,2264,10236
40,Zeuz Kralik,Colombia,Sudamérica,1422,1893,-471
41,FUSION,Colombia,Sudamérica,22400,36700,-14300
42,E-Xolos LAZER,Colombia,Sudamérica,1400,6800,-5400
43,Border Monsters,Colombia,Sudamérica,587,3049,-2462
44,Six Karma,Colombia,Sudamérica,8827,13000,-4173
45,Deportivo Cali,Colombia,Sudamérica,2000,1400,600
46,MAD Lions,Colombia,Sudamérica,115000,8731,106269
47,Beastcoast,Perú,Sudamérica,69000,48500,20500
48,Thunder Awaken,Perú,Sudamérica,39900,5129,34771
49,Infamous,Perú,Sudamérica,58100,11000,47100
50,Hokori,Perú,Sudamérica,4553,4982,-429
51,Unknown team,Perú,Sudamérica,1234,481,753
52,Lava esports,Perú,Sudamérica,387,0,387
53,Balrog esports,Perú,Sudamérica,410,456,-46
54,Inter de Lima,Perú,Sudamérica,5457,248,5209